SerialNumber,Type,Model,TowingCapacity
97791,Electric,N-12,56
88879,Electric,C-10,81
54614,Diesel,B-13,85
89643,Diesel,B-11,20
95552,Diesel,B-14,23
64838,Electric,N-18,30
51594,Hybrid,F-14,39
56778,Diesel,M-14,50
50269,Diesel,I-12,95
91275,Hybrid,I-19,83
92072,Diesel,B-16,20
73122,Electric,K-14,66
92558,Hybrid,K-16,28
56599,Diesel,H-18,62
95341,Hybrid,L-17,96
66558,Diesel,I-16,22
68455,Diesel,D-11,86
91413,Electric,C-17,28
50264,Electric,A-13,25
50512,Electric,D-12,93
98531,Electric,D-10,96
92528,Diesel,N-15,75
62443,Electric,G-18,78
50599,Diesel,L-11,27
80635,Hybrid,J-14,63
96086,Diesel,I-11,33
91861,Electric,A-15,19
61296,Electric,H-14,86
68651,Electric,G-16,52
97499,Electric,C-10,97
74374,Hybrid,N-16,52
94062,Electric,N-14,84
79884,Hybrid,L-17,48
85570,Hybrid,K-12,17
98701,Electric,G-19,19
87125,Diesel,J-15,68
98105,Diesel,K-12,26
92445,Diesel,B-17,86
63315,Diesel,A-16,36
63144,Electric,A-20,92
96589,Electric,B-15,12
78453,Diesel,I-17,24
75044,Electric,D-12,24
85026,Diesel,K-17,99
88104,Electric,O-12,56
97943,Diesel,E-11,38
84823,Hybrid,N-14,96
89980,Electric,K-14,34
76491,Diesel,E-20,63
95204,Electric,P-19,16
66629,Electric,D-11,90
84328,Diesel,A-14,61
83615,Hybrid,L-17,12
99475,Diesel,I-10,79
63507,Electric,H-12,40
92552,Diesel,K-16,98
50801,Diesel,M-17,72
90672,Electric,B-15,74
92831,Electric,F-10,43
60263,Hybrid,D-11,80
67209,Diesel,L-17,89
86371,Electric,M-12,55
77379,Hybrid,E-19,20
74247,Electric,A-13,69
89141,Hybrid,E-12,79
74029,Electric,L-10,42
98509,Electric,C-18,70
56565,Diesel,D-17,56
67137,Diesel,J-14,69
78475,Diesel,B-14,24
83919,Electric,N-10,47
57391,Hybrid,B-17,93
58791,Electric,I-12,13
55326,Diesel,O-18,74
75779,Diesel,O-19,33
59301,Diesel,F-17,93
78043,Diesel,H-10,66
65684,Electric,C-11,93
86289,Electric,L-14,49
91616,Diesel,A-17,39
63154,Electric,M-17,52
73082,Diesel,A-11,76
63568,Electric,K-12,88
93599,Diesel,O-20,13
79636,Hybrid,B-12,34
85277,Hybrid,O-12,89
96742,Electric,K-16,91
94248,Diesel,M-12,26
81880,Diesel,C-14,56
83861,Electric,P-16,85
54915,Diesel,N-17,87
86147,Hybrid,P-18,37
85315,Electric,A-15,100
77931,Diesel,A-10,17
64618,Diesel,A-12,46
93227,Diesel,J-11,27
60274,Diesel,G-10,16
64213,Hybrid,O-11,75
76458,Hybrid,K-19,28
97415,Electric,M-11,65
53283,Diesel,P-12,73
68326,Hybrid,B-14,69
51151,Diesel,C-20,70
87674,Electric,D-12,61
98038,Diesel,O-18,24
82190,Hybrid,P-19,12
90123,Hybrid,I-13,96
60742,Electric,F-14,95
87937,Diesel,E-17,93
56538,Diesel,L-19,60
57430,Electric,E-14,42
81693,Diesel,E-15,56
73080,Electric,O-13,18
99859,Electric,F-20,13
79478,Diesel,E-17,18
66601,Electric,A-18,93
82441,Diesel,H-19,11
91827,Hybrid,M-16,14
96523,Diesel,B-15,26
63764,Diesel,O-11,45
79597,Hybrid,F-20,65
92770,Diesel,B-16,94
50196,Diesel,I-15,45
62793,Electric,D-17,43
88433,Hybrid,K-10,87
52115,Hybrid,H-17,81
50511,Electric,O-10,25
79843,Hybrid,P-14,58
93680,Electric,N-20,80
51466,Hybrid,J-13,60
99864,Hybrid,H-19,29
68393,Diesel,H-14,69
88649,Electric,E-10,41
92402,Hybrid,N-14,95
58043,Hybrid,G-15,36
51042,Electric,I-16,100
53681,Electric,A-17,67
54822,Hybrid,A-14,15
53351,Electric,I-11,95
51649,Electric,C-20,16
50391,Hybrid,K-11,33
85677,Electric,E-20,83
91469,Diesel,M-17,84
63704,Hybrid,B-18,68
50590,Diesel,N-17,52
66574,Electric,C-18,76
68694,Hybrid,P-17,56
53710,Diesel,C-10,13
87889,Diesel,J-15,24
59522,Diesel,E-13,48
95483,Electric,L-16,75
59718,Electric,A-18,28
65537,Hybrid,E-16,35
69755,Hybrid,H-11,12
79401,Diesel,C-16,58
72003,Hybrid,I-12,22
69218,Electric,H-14,60
60271,Electric,M-15,66
95275,Hybrid,I-12,82
70980,Hybrid,D-15,86
81652,Hybrid,J-20,60
61455,Diesel,D-18,99
59942,Electric,L-11,16
80728,Diesel,L-20,15
86658,Hybrid,L-16,17
72759,Hybrid,K-10,32
89488,Diesel,B-16,67
66951,Electric,C-16,93
90080,Electric,G-14,77
98455,Electric,J-17,33
68481,Electric,M-16,48
63236,Diesel,E-19,92
88863,Hybrid,D-11,17
57171,Electric,G-10,89
69589,Hybrid,E-13,36
73177,Diesel,C-12,35
75671,Hybrid,D-15,14
91314,Electric,D-20,39
78991,Hybrid,P-14,87
91068,Electric,P-18,30
80898,Electric,M-19,61
59260,Diesel,L-12,66
83460,Electric,O-18,98
63970,Diesel,P-12,68
65218,Hybrid,D-11,80
58803,Diesel,C-10,37
84857,Diesel,A-17,58
82791,Diesel,B-18,68
58096,Diesel,A-16,73
52402,Electric,A-10,65
81007,Hybrid,O-16,98
51408,Hybrid,H-16,74
64221,Electric,G-12,29
98111,Diesel,N-14,10
86282,Hybrid,E-12,19
95629,Hybrid,M-18,57
85380,Diesel,M-20,65
88049,Diesel,A-15,47
67875,Diesel,N-12,26
90172,Diesel,E-15,98
65393,Electric,A-19,33
56539,Hybrid,B-19,23
96016,Electric,O-12,17
61808,Hybrid,A-12,13
87652,Hybrid,N-12,78
