SerialNumber,Model,Capacity,CargoGroup
56293,K-16,4973,Intermodal Containers
66232,G-12,9387,Chemicals
78447,A-13,7663,Livestock
81516,J-16,7532,Machinery
51979,N-17,3555,Chemicals
94337,E-18,1259,Automobiles
73669,H-19,4770,Building Materials
91632,H-13,7590,Intermodal Containers
63525,I-10,6645,Building Materials
95894,C-16,7725,Intermodal Containers
73544,N-11,5705,Electronics
91262,B-11,5697,Forestry
73172,D-13,6584,Forestry
98706,J-15,4878,Food
67752,E-12,1000,Intermodal Containers
81502,H-17,7419,Forestry
70530,G-18,3793,Electronics
82390,K-10,2455,Electronics
92136,E-16,1182,Automobiles
70071,C-12,4794,Chemicals
73000,G-17,5015,Goods
58952,B-11,5238,Forestry
81892,N-13,9085,Oil
74371,L-16,4534,Intermodal Containers
97374,M-15,1290,Forestry
98527,B-14,2460,Goods
66463,I-18,3365,Agricultural
57061,F-17,1156,Intermodal Containers
87527,D-16,5270,Oil
82133,M-15,2789,Forestry
53247,E-10,1443,Goods
95477,M-13,4051,Raw Minerals
55494,P-11,3833,Forestry
59023,F-17,9226,Forestry
62679,C-17,1989,Food
56814,C-12,9360,Building Materials
91332,G-11,3786,Electronics
95531,B-13,2738,Automobiles
65567,F-19,8729,Goods
54521,P-10,9327,Livestock
86804,P-15,4646,Metals
50103,B-13,8897,Chemicals
89594,N-20,6448,Oil
83948,G-15,7945,Building Materials
56796,D-18,8384,Goods
92796,E-17,4307,Chemicals
65653,J-15,2062,Building Materials
59173,O-17,7403,Automobiles
84307,G-19,1194,Automobiles
96756,C-12,9429,Agricultural
82341,M-13,3242,Goods
86560,D-12,2425,Metals
91142,I-18,8089,Oil
88132,F-13,9815,Forestry
52427,E-17,3212,Intermodal Containers
96142,H-17,8081,Livestock
99986,C-11,1009,Oil
68110,E-17,6397,Raw Minerals
94813,A-17,3629,Machinery
59465,I-20,9524,Metals
60584,N-18,1166,Machinery
65017,A-16,5529,Building Materials
99303,N-17,5445,Goods
60238,E-19,5742,Automobiles
71811,E-14,1986,Raw Minerals
95947,K-13,4998,Chemicals
51322,P-13,9578,Automobiles
64806,K-17,5461,Electronics
70559,H-18,8304,Building Materials
58963,A-16,7182,Livestock
85594,P-16,5859,Livestock
89324,K-10,9161,Intermodal Containers
65216,C-15,1047,Food
96477,A-11,9117,Building Materials
92286,H-12,7587,Raw Minerals
95837,K-20,9261,Building Materials
60657,L-11,6326,Chemicals
58636,D-16,4819,Raw Minerals
50001,M-10,1924,Electronics
99596,K-20,5361,Automobiles
55955,K-13,4066,Intermodal Containers
70384,H-17,9843,Building Materials
59197,C-18,5478,Agricultural
78799,E-19,2245,Electronics
89672,K-10,5198,Chemicals
81280,M-12,8518,Intermodal Containers
78637,G-20,2868,Automobiles
68958,N-12,4466,Agricultural
96103,A-11,8493,Goods
60389,D-15,6833,Metals
88232,A-11,3780,Raw Minerals
95166,G-12,1766,Agricultural
66475,C-14,1213,Intermodal Containers
60931,K-14,2492,Food
58122,N-19,3257,Building Materials
94513,B-11,9059,Agricultural
93106,E-16,3964,Chemicals
70048,B-16,1317,Building Materials
59961,G-19,3564,Intermodal Containers
59310,P-16,8131,Automobiles
72943,M-14,1592,Intermodal Containers
98165,M-19,8943,Food
76391,M-11,9165,Goods
71324,M-20,5060,Agricultural
52902,C-17,6857,Forestry
75451,A-14,7068,Livestock
85999,E-12,1579,Metals
78330,J-11,9358,Food
91103,I-17,2281,Forestry
88441,K-19,5880,Goods
76860,J-11,1768,Agricultural
51022,L-13,7570,Forestry
93613,P-18,1160,Machinery
69912,G-17,9060,Livestock
65481,I-14,1573,Chemicals
71558,N-14,5685,Food
70626,G-13,3754,Food
74442,A-16,3610,Agricultural
68777,E-12,4799,Oil
61755,M-16,3596,Goods
54190,D-15,2036,Chemicals
87168,N-20,6578,Food
73375,C-17,4881,Agricultural
57421,G-11,1388,Metals
97022,D-10,7332,Automobiles
80147,N-20,7038,Electronics
75653,I-11,2613,Metals
96491,P-12,9656,Automobiles
84516,J-14,5922,Electronics
57327,K-15,1763,Building Materials
72233,B-11,1040,Metals
74682,F-13,1575,Forestry
81824,M-17,2142,Goods
54864,O-15,2559,Automobiles
66782,D-10,2720,Raw Minerals
93954,H-10,9062,Raw Minerals
76831,N-12,5003,Machinery
58198,N-13,7729,Food
80586,G-10,4762,Raw Minerals
59431,L-13,2268,Electronics
70662,D-11,3346,Agricultural
65612,L-16,5339,Chemicals
75648,I-16,6719,Electronics
95596,I-10,5790,Metals
52549,O-14,4878,Building Materials
67078,P-11,5726,Electronics
71894,O-19,2382,Raw Minerals
68452,L-11,6034,Food
56269,F-20,4205,Food
88117,L-16,2462,Metals
50178,H-11,1362,Building Materials
60630,E-17,6568,Chemicals
93636,L-19,3034,Machinery
74009,D-13,9124,Oil
54444,L-12,4059,Intermodal Containers
60762,I-20,5304,Chemicals
69074,L-13,9309,Metals
60733,M-17,5796,Intermodal Containers
81284,P-16,3717,Agricultural
53873,E-11,4694,Goods
87093,H-10,4866,Chemicals
50260,L-14,2432,Livestock
58583,P-12,4483,Machinery
75740,I-18,6973,Oil
71177,F-13,5355,Livestock
87856,P-13,6325,Goods
86200,B-11,3160,Chemicals
54957,B-18,6593,Livestock
96894,P-14,2999,Food
97314,M-10,8342,Raw Minerals
87741,K-16,3908,Agricultural
64191,L-13,1174,Metals
63088,I-15,2142,Intermodal Containers
98831,B-14,5211,Intermodal Containers
75381,J-11,5327,Machinery
71496,H-13,1506,Livestock
62517,N-16,8828,Intermodal Containers
94417,A-17,3116,Chemicals
71810,F-18,2306,Agricultural
81587,C-19,1116,Raw Minerals
60139,M-10,7248,Metals
64749,N-15,9497,Chemicals
51086,P-14,3265,Automobiles
67412,E-15,7396,Intermodal Containers
59779,B-10,5084,Oil
64627,G-16,8084,Electronics
93202,E-12,5798,Electronics
91954,J-11,8123,Food
92190,D-10,8607,Automobiles
78347,J-18,6186,Forestry
97788,P-15,9039,Machinery
72893,N-13,6456,Food
51921,A-16,9903,Raw Minerals
85222,J-11,1747,Raw Minerals
73031,J-19,9299,Food
71929,I-19,5308,Machinery
91955,H-18,8146,Oil
89942,J-14,5570,Intermodal Containers
96494,K-19,6448,Food
96329,H-17,5217,Machinery
90658,I-14,2765,Oil
51568,K-10,9998,Chemicals
70731,H-13,4534,Electronics
94045,J-13,3906,Forestry
60880,L-13,4296,Automobiles
71364,K-18,6831,Automobiles
92251,O-20,2280,Food
89531,G-19,7552,Electronics
75973,A-14,6358,Raw Minerals
61288,P-17,9300,Agricultural
81927,F-18,2533,Metals
75950,K-18,8682,Machinery
86064,D-19,3663,Building Materials
66916,N-11,6448,Agricultural
65882,G-10,3581,Intermodal Containers
88497,J-18,6126,Machinery
85844,N-18,7947,Metals
50489,K-18,6729,Automobiles
75700,B-20,5073,Raw Minerals
75047,J-14,9422,Chemicals
94784,M-17,4196,Building Materials
86845,P-18,3490,Electronics
57710,E-20,1849,Livestock
53578,P-14,9177,Livestock
87470,E-13,5385,Building Materials
73550,G-13,3691,Intermodal Containers
68634,O-15,8467,Electronics
95277,F-11,2451,Intermodal Containers
64492,O-13,8929,Machinery
98793,N-13,3299,Raw Minerals
61121,J-10,7855,Forestry
55583,D-11,2665,Electronics
67310,A-14,8533,Intermodal Containers
85795,O-17,7432,Livestock
80043,A-12,6368,Chemicals
86934,O-14,1709,Goods
99573,M-11,7165,Metals
90871,E-20,1091,Building Materials
97832,C-20,8834,Intermodal Containers
52054,I-18,6699,Metals
63186,C-20,7753,Forestry
71080,G-17,1200,Oil
58415,H-16,4904,Machinery
82280,P-15,1127,Machinery
72369,N-12,2839,Oil
67655,H-18,1925,Agricultural
54042,G-10,4188,Oil
61006,I-11,8667,Forestry
82255,E-10,7924,Building Materials
84119,M-20,9306,Food
54576,I-14,3386,Agricultural
50062,G-19,1462,Agricultural
95470,P-13,6502,Intermodal Containers
56421,P-12,9064,Intermodal Containers
85886,L-15,4754,Automobiles
71215,I-10,6880,Goods
85252,E-20,3697,Agricultural
77051,P-18,9737,Metals
92042,A-12,4875,Chemicals
75266,H-17,5053,Machinery
85737,C-12,7695,Agricultural
53918,K-15,1849,Machinery
55429,F-12,2364,Intermodal Containers
96160,J-17,4764,Oil
86789,E-20,7941,Electronics
78568,H-15,4362,Chemicals
85134,O-16,1544,Building Materials
50275,B-18,1092,Electronics
93485,I-13,1465,Chemicals
66945,D-12,7828,Building Materials
76986,M-13,9064,Livestock
90243,A-11,3326,Goods
59166,K-19,7619,Forestry
95957,K-16,1313,Raw Minerals
74588,E-10,7887,Machinery
91252,I-18,3500,Metals
53779,J-18,8990,Intermodal Containers
50848,N-12,5318,Metals
74822,P-15,7711,Building Materials
65212,P-16,7217,Electronics
85854,J-15,8684,Metals
98759,E-19,8739,Livestock
61679,F-11,3324,Intermodal Containers
99452,J-11,9132,Oil
65166,B-14,3613,Raw Minerals
77187,I-12,8743,Oil
83877,B-20,3430,Forestry
52981,I-17,3389,Agricultural
73252,B-18,4626,Goods
93946,C-15,7438,Electronics
61650,B-14,9047,Food
93050,M-15,9512,Building Materials
72700,C-17,1861,Food
52536,G-20,4405,Automobiles
97958,L-12,7484,Forestry
71368,N-12,2069,Metals
79673,B-12,2866,Livestock
94768,B-10,5921,Forestry
95249,L-20,6844,Chemicals
87589,N-16,2490,Electronics
62988,I-12,7665,Goods
95752,A-14,4649,Building Materials
76011,G-17,7592,Food
56390,D-13,1932,Machinery
52985,E-20,3041,Metals
54205,N-17,2224,Forestry
62638,P-18,6891,Raw Minerals
91565,M-10,6712,Building Materials
58038,E-19,1388,Food
55370,O-20,6463,Livestock
67517,C-17,2926,Automobiles
90242,C-13,4777,Food
99355,D-20,6947,Metals
71609,K-11,7187,Chemicals
93422,F-20,4099,Machinery
89772,L-19,7753,Agricultural
56161,F-13,5701,Intermodal Containers
69364,I-14,7102,Agricultural
99409,D-19,1784,Chemicals
99252,G-14,2126,Metals
83801,O-11,6058,Building Materials
78310,M-14,1819,Intermodal Containers
75171,B-10,8691,Electronics
72930,E-12,8170,Raw Minerals
74935,C-12,5629,Building Materials
93058,H-20,9572,Food
56809,J-17,3910,Raw Minerals
92807,O-19,7843,Intermodal Containers
66312,L-17,9662,Food
82657,I-14,1067,Machinery
71685,G-15,7045,Building Materials
75678,P-16,3675,Agricultural
52499,J-19,8937,Electronics
87137,D-12,9605,Livestock
75250,C-13,5488,Building Materials
71137,J-13,9887,Livestock
63357,D-18,7504,Chemicals
57109,D-14,7312,Food
81755,J-19,3286,Intermodal Containers
82862,P-19,3876,Electronics
63077,D-18,8155,Automobiles
74143,G-17,7373,Electronics
81924,M-14,1982,Agricultural
89272,C-15,5883,Electronics
73324,K-20,1078,Intermodal Containers
94543,F-11,2907,Livestock
80476,I-17,3392,Intermodal Containers
78986,E-12,1498,Metals
93576,C-16,2681,Agricultural
99640,J-17,1427,Agricultural
87725,O-14,8908,Goods
55061,L-19,5106,Livestock
90728,K-17,2566,Forestry
59176,N-10,5815,Raw Minerals
95485,E-10,7623,Goods
99257,P-18,6484,Goods
50957,B-11,5819,Oil
57894,F-11,4355,Goods
55447,E-14,4155,Oil
66613,E-15,3127,Metals
59221,G-17,5655,Food
96803,K-15,3440,Chemicals
81283,N-12,5769,Raw Minerals
58192,F-19,7369,Metals
62866,P-16,4694,Oil
77551,N-18,1685,Electronics
81697,B-20,1599,Livestock
60669,N-12,6162,Forestry
55159,D-11,3303,Automobiles
94618,N-14,5775,Chemicals
84919,L-16,1472,Goods
88267,O-11,9600,Food
58588,O-15,8612,Building Materials
55523,P-17,9670,Food
71114,N-19,2993,Machinery
65034,H-14,5908,Forestry
82394,G-14,3730,Electronics
99898,B-14,9739,Metals
51087,G-20,7807,Metals
79255,I-11,1874,Goods
72311,H-20,6662,Food
93322,D-18,5892,Intermodal Containers
81761,D-14,3499,Building Materials
67558,O-20,1222,Food
66054,N-14,5614,Automobiles
91317,A-12,1185,Raw Minerals
65809,D-12,1338,Goods
53092,F-17,2954,Intermodal Containers
64460,A-16,2983,Intermodal Containers
58470,L-13,8772,Chemicals
60411,D-14,6242,Agricultural
91116,B-19,3979,Intermodal Containers
61657,P-17,8502,Goods
99529,H-19,6510,Goods
85377,G-19,4413,Chemicals
75029,H-16,6359,Building Materials
83117,M-19,8007,Agricultural
78857,C-14,4109,Building Materials
69190,F-19,1024,Forestry
56231,F-15,1576,Electronics
98541,O-11,2292,Machinery
93150,J-12,6343,Raw Minerals
63614,A-15,2081,Chemicals
64874,H-17,4822,Agricultural
58376,B-15,7832,Metals
81817,C-18,2941,Raw Minerals
71418,E-19,3643,Forestry
96374,J-14,2151,Raw Minerals
88355,A-16,3906,Automobiles
71288,A-10,4257,Metals
85825,I-14,5234,Agricultural
57177,D-16,1853,Metals
83243,F-16,6900,Machinery
70224,P-14,7916,Raw Minerals
86677,F-16,6670,Building Materials
88700,M-14,5854,Electronics
72384,A-15,1773,Automobiles
52392,F-17,2072,Forestry
84650,O-17,1524,Machinery
92494,O-20,9217,Machinery
53053,B-18,9590,Machinery
69019,A-19,9834,Raw Minerals
84741,G-15,8370,Automobiles
55372,C-16,2252,Machinery
66649,L-19,1207,Oil
71661,E-11,9174,Building Materials
86098,B-14,8340,Automobiles
63880,B-19,9401,Electronics
50503,D-13,7943,Metals
73168,F-20,5395,Raw Minerals
96790,F-17,6990,Metals
95262,E-16,9068,Agricultural
98434,H-20,8462,Food
54101,E-19,5886,Oil
82927,M-19,5565,Food
85827,D-10,5585,Livestock
85749,G-15,9103,Agricultural
70012,F-11,8603,Forestry
53436,P-19,4533,Automobiles
61824,O-20,8431,Agricultural
79419,L-19,4798,Forestry
92608,J-11,9486,Agricultural
54648,H-13,7171,Automobiles
73952,K-14,7852,Agricultural
50241,K-11,6004,Metals
65245,J-20,6731,Oil
82909,J-17,8779,Chemicals
54062,E-19,2788,Oil
50753,E-12,4631,Oil
70152,P-14,4428,Building Materials
91241,B-17,8761,Food
82503,I-14,1948,Intermodal Containers
58074,B-14,8430,Food
91819,C-19,1689,Agricultural
55303,K-11,3872,Building Materials
50089,L-11,7470,Agricultural
51767,G-14,5161,Livestock
85302,M-18,8441,Building Materials
63055,K-19,7813,Goods
72685,H-17,9866,Oil
96518,E-20,2191,Machinery
66192,A-20,2512,Machinery
88371,D-18,3417,Intermodal Containers
51860,O-17,8851,Machinery
77404,F-14,1156,Forestry
58082,B-13,1641,Oil
86846,F-20,3782,Automobiles
57222,A-16,3590,Forestry
68375,H-18,7697,Agricultural
89795,P-10,3338,Automobiles
76540,H-13,5410,Metals
66108,P-11,3255,Electronics
68767,N-18,4026,Building Materials
95778,E-11,1942,Machinery
73399,N-19,8856,Agricultural
57199,P-12,7768,Electronics
51348,K-16,4054,Livestock
82297,O-16,8727,Electronics
72365,O-16,9972,Oil
72403,D-16,6795,Oil
51578,I-17,9299,Metals
59038,O-17,5056,Livestock
82080,G-17,8789,Intermodal Containers
77862,D-10,4545,Metals
59151,I-17,9217,Livestock
73185,A-14,5904,Building Materials
60459,N-15,7996,Livestock
81571,A-12,5734,Metals
62342,L-15,6692,Livestock
76639,G-20,9951,Livestock
82622,G-18,1558,Livestock
52872,J-20,1794,Metals
80601,E-12,9238,Forestry
77113,P-15,4123,Intermodal Containers
73823,N-17,3125,Automobiles
85872,L-20,4495,Oil
58311,N-17,3353,Electronics
70977,P-17,9794,Food
71931,L-14,1258,Agricultural
53144,K-19,6292,Building Materials
79494,B-19,9338,Building Materials
85162,L-16,2082,Goods
99514,K-16,1393,Livestock
86372,B-18,1948,Machinery
93942,G-19,4696,Goods
61519,D-20,6755,Food
57786,L-13,5507,Building Materials
77860,A-12,8962,Livestock
80950,N-19,8802,Forestry
60494,F-18,3792,Goods
87487,F-20,1559,Raw Minerals
82121,F-20,4363,Goods
77383,K-12,8701,Metals
74620,F-12,9260,Forestry
90310,O-13,1827,Food
99052,J-20,9231,Agricultural
77344,P-14,4202,Building Materials
77207,D-12,8477,Intermodal Containers
91168,P-13,6860,Metals
62158,C-11,3562,Building Materials
63725,L-14,2989,Livestock
50683,A-17,3416,Livestock
91095,P-13,9196,Agricultural
94070,N-13,1876,Automobiles
58733,P-16,2199,Electronics
94707,L-20,3120,Forestry
87606,K-20,8945,Electronics
79720,E-18,7469,Machinery
56980,F-11,2488,Food
54651,O-17,3195,Metals
63468,A-10,2746,Machinery
67076,H-19,6703,Machinery
77748,L-14,2767,Chemicals
57919,J-10,8515,Livestock
92220,F-15,3509,Electronics
75680,C-10,7965,Metals
97722,I-15,6807,Forestry
87096,E-16,2330,Food
79646,E-15,8063,Oil
98036,M-20,3132,Oil
75726,H-19,3783,Building Materials
95537,D-12,9654,Machinery
63814,E-20,9531,Oil
81848,G-10,7700,Chemicals
86503,O-13,6162,Intermodal Containers
59841,F-10,2811,Oil
61434,P-10,4938,Metals
61421,E-11,8907,Building Materials
89039,O-20,6442,Oil
70153,M-11,5881,Electronics
60354,C-18,5918,Building Materials
99416,K-15,8484,Forestry
64272,A-14,8000,Building Materials
52354,P-19,3108,Machinery
66040,F-20,6159,Chemicals
95316,D-12,7666,Forestry
59380,H-15,3240,Chemicals
71692,M-11,6931,Livestock
76341,A-11,1812,Automobiles
72430,B-15,9372,Forestry
52424,B-14,2318,Machinery
70271,N-14,8900,Machinery
77934,L-11,7436,Goods
53230,B-18,8703,Raw Minerals
56331,C-10,1533,Raw Minerals
69047,M-14,1676,Forestry
84915,G-14,1499,Raw Minerals
63645,P-15,2486,Automobiles
90209,O-15,4435,Raw Minerals
53290,I-12,9000,Machinery
59496,J-11,3804,Machinery
78680,O-16,6974,Oil
74109,C-20,9533,Chemicals
66458,L-11,4888,Building Materials
74884,K-14,8536,Building Materials
75957,E-10,2529,Oil
83443,B-20,5362,Chemicals
77687,H-20,3603,Automobiles
82897,P-14,4718,Electronics
90276,K-18,4104,Building Materials
75632,A-14,6961,Metals
84270,N-18,9101,Goods
74281,G-11,8119,Building Materials
64630,I-12,3636,Automobiles
68140,D-16,4286,Food
87721,F-10,9695,Food
76942,G-20,8370,Electronics
90475,M-19,6698,Oil
64438,J-13,6245,Chemicals
56839,L-18,8210,Machinery
63987,N-10,3857,Forestry
91280,G-18,9284,Intermodal Containers
97104,G-15,8325,Machinery
98953,C-15,8312,Chemicals
63877,D-14,3124,Machinery
87046,A-11,2133,Chemicals
99186,P-18,1393,Food
69227,H-15,5544,Intermodal Containers
73585,D-12,6555,Goods
50578,D-18,3074,Livestock
75603,F-13,6696,Agricultural
80325,D-18,9270,Raw Minerals
73473,P-12,1276,Building Materials
52073,H-14,5065,Oil
61036,F-17,8580,Automobiles
67751,G-13,7458,Livestock
88270,K-17,4649,Goods
91553,L-14,8936,Intermodal Containers
90383,D-11,4307,Forestry
69986,M-19,6075,Oil
86540,I-18,5592,Forestry
77451,J-12,3182,Forestry
56190,F-19,4286,Machinery
68172,H-10,3116,Electronics
64271,K-10,2596,Forestry
83138,C-19,1811,Agricultural
74708,M-12,9644,Building Materials
52241,J-18,8472,Automobiles
53179,K-11,2074,Forestry
58561,D-16,8461,Forestry
55396,N-19,2415,Oil
83289,E-11,7684,Food
72911,J-17,4278,Building Materials
72033,B-19,1215,Electronics
80270,M-18,4633,Machinery
83301,M-19,6158,Goods
62037,H-14,4360,Food
81282,E-13,7927,Intermodal Containers
58140,G-11,1091,Food
95199,J-10,6955,Building Materials
80110,E-15,3752,Building Materials
88079,K-13,4140,Electronics
87155,P-16,9023,Machinery
77131,H-17,9031,Electronics
80504,O-12,7499,Chemicals
96761,N-14,1261,Building Materials
59478,G-18,9330,Metals
73925,C-20,3799,Automobiles
57471,M-15,4773,Building Materials
78518,J-19,9067,Forestry
67210,N-12,8340,Electronics
67059,F-17,7135,Forestry
61736,F-20,9949,Forestry
91814,D-17,8894,Electronics
52771,F-19,7457,Food
81916,C-18,9020,Metals
65289,E-15,1329,Electronics
99413,A-11,1159,Food
84791,F-17,5327,Forestry
78559,L-15,7043,Building Materials
73837,A-12,7930,Chemicals
95990,I-15,6432,Livestock
54447,A-20,3721,Electronics
83977,O-15,9389,Metals
86703,I-19,2563,Machinery
87625,L-19,1505,Livestock
93015,F-19,3234,Food
58101,H-15,9689,Forestry
97828,P-14,9678,Chemicals
68401,F-10,2303,Intermodal Containers
70676,H-16,2354,Electronics
56419,E-19,1249,Agricultural
68628,P-12,3278,Intermodal Containers
70217,M-12,2697,Machinery
70595,D-19,1239,Chemicals
97515,E-12,1179,Chemicals
68769,A-15,1393,Goods
53976,K-17,7256,Automobiles
77870,B-10,4991,Raw Minerals
63554,I-11,1957,Forestry
72232,A-10,4410,Automobiles
86462,E-18,6511,Agricultural
84657,O-10,9785,Oil
65806,O-12,3294,Agricultural
87331,D-14,7330,Oil
53196,G-14,7570,Intermodal Containers
59940,C-18,1451,Intermodal Containers
88510,N-11,4819,Forestry
71977,G-13,8973,Chemicals
53036,M-15,2541,Agricultural
93496,M-20,5813,Chemicals
91725,D-13,7292,Chemicals
99000,M-10,9833,Intermodal Containers
79111,J-15,9635,Automobiles
51536,D-11,6806,Raw Minerals
69415,J-14,4405,Metals
96512,I-15,4320,Machinery
67589,K-13,3963,Machinery
94747,C-16,6645,Chemicals
92459,J-16,4367,Machinery
74386,O-16,6795,Raw Minerals
54209,I-18,6508,Electronics
83079,O-16,9251,Livestock
64947,C-18,9615,Automobiles
99384,G-20,9687,Electronics
51509,F-18,9100,Goods
93437,F-19,8631,Intermodal Containers
96151,C-11,7816,Electronics
58498,J-10,5880,Goods
82660,F-13,7695,Metals
66124,H-10,6719,Raw Minerals
54582,A-10,1928,Food
80631,D-12,4293,Raw Minerals
52287,H-12,6554,Raw Minerals
76318,L-16,7571,Chemicals
67504,P-16,7549,Oil
51162,C-19,1431,Oil
95265,B-15,7741,Goods
72251,F-18,7702,Agricultural
87037,E-18,6900,Agricultural
80723,L-19,7696,Forestry
93927,F-10,7700,Goods
58325,E-17,5464,Goods
96652,F-17,4050,Goods
55407,H-14,9190,Chemicals
59149,M-18,7157,Agricultural
93863,J-12,5398,Building Materials
81684,J-19,8715,Intermodal Containers
80549,F-16,9244,Agricultural
53741,B-19,7654,Building Materials
78730,J-11,8563,Chemicals
60854,O-19,5911,Food
74234,K-11,3848,Food
85532,H-13,4793,Forestry
96898,J-10,6273,Automobiles
85343,E-16,1642,Forestry
87627,N-12,8194,Raw Minerals
86333,L-15,2418,Forestry
79439,F-13,5099,Intermodal Containers
81382,N-14,4587,Intermodal Containers
75040,G-17,4037,Livestock
70801,E-15,7915,Oil
51360,E-19,2532,Building Materials
96248,I-10,1730,Building Materials
89985,P-13,4361,Livestock
67802,I-16,3034,Metals
88841,P-15,7222,Livestock
61831,K-19,5099,Agricultural
97407,E-18,1436,Intermodal Containers
93556,D-14,6385,Agricultural
86140,P-13,9439,Raw Minerals
53895,N-15,9352,Electronics
55309,J-12,9049,Oil
61362,D-13,8275,Chemicals
82590,K-10,7946,Machinery
64547,M-15,5003,Chemicals
98325,G-14,3135,Chemicals
84598,C-13,5808,Intermodal Containers
83205,A-18,5970,Chemicals
65268,H-13,9733,Automobiles
97593,J-19,4654,Forestry
50831,P-20,2039,Forestry
60460,H-16,5747,Building Materials
73641,E-14,5363,Electronics
85174,P-15,1540,Intermodal Containers
74317,P-18,3260,Machinery
97178,J-11,9404,Building Materials
63753,O-20,5333,Automobiles
97580,I-18,7353,Machinery
89113,O-16,4171,Electronics
77830,O-17,3654,Machinery
60202,F-13,4255,Electronics
78060,A-13,9038,Machinery
51328,B-10,8197,Electronics
76567,A-13,7027,Goods
70808,L-14,4398,Raw Minerals
56754,F-11,2114,Chemicals
96119,A-11,3154,Goods
77759,M-17,7061,Machinery
63381,P-11,6071,Automobiles
72314,O-10,3179,Goods
71197,B-16,1744,Agricultural
57535,N-15,6846,Raw Minerals
61975,D-10,5824,Metals
98940,G-10,6167,Metals
99124,I-18,6455,Automobiles
72758,D-18,1412,Oil
53091,C-12,6925,Automobiles
