SerialNumber,Model,Capacity,CargoGroup
24009,P-20,2356,Electronics
29971,G-11,6760,Metals
37885,E-14,8932,Machinery
43651,A-18,2082,Food
39786,P-15,9799,Goods
48489,A-12,2414,Oil
46919,K-15,8216,Electronics
36584,M-18,4025,Automobiles
33630,J-18,7219,Raw Minerals
12505,J-17,4385,Metals
43049,P-14,6074,Intermodal Containers
27728,F-14,3276,Livestock
29454,F-15,7621,Forestry
17919,D-17,9274,Raw Minerals
48820,I-17,9138,Electronics
37060,I-17,9903,Goods
35312,O-10,4224,Electronics
10874,A-15,1362,Automobiles
36157,B-12,8932,Livestock
11750,C-17,6297,Livestock
17128,J-13,8953,Livestock
47542,D-17,1832,Automobiles
32866,K-18,5637,Building Materials
18742,M-15,3928,Machinery
30703,M-14,4227,Livestock
27723,F-14,9228,Goods
34029,G-12,6648,Agricultural
44293,N-13,2418,Goods
15058,J-15,3675,Food
49620,C-15,1870,Chemicals
20504,I-13,7766,Chemicals
44904,N-15,5759,Forestry
21520,B-20,7559,Automobiles
14003,F-17,8984,Automobiles
26776,N-20,3363,Metals
25700,L-16,2073,Forestry
38826,P-15,9130,Automobiles
19060,K-13,3699,Agricultural
39957,E-14,7860,Goods
42993,D-13,7926,Livestock
35323,A-19,5522,Oil
14144,H-18,5317,Food
47738,M-12,5486,Raw Minerals
48106,B-17,8848,Automobiles
26394,J-11,9878,Electronics
13196,L-17,5357,Raw Minerals
20502,F-11,4437,Electronics
14617,L-20,2247,Intermodal Containers
48731,P-20,7271,Automobiles
40920,L-20,2221,Electronics
23066,B-16,2724,Agricultural
16792,H-19,8623,Goods
16709,H-12,7594,Forestry
39632,M-10,5330,Raw Minerals
49592,M-19,3027,Machinery
33547,A-19,6910,Agricultural
34421,M-17,4158,Livestock
39899,P-20,2456,Agricultural
10202,C-16,1057,Electronics
18328,O-12,3949,Electronics
20092,D-19,3284,Intermodal Containers
48306,I-19,4588,Intermodal Containers
19692,G-16,8854,Chemicals
20512,P-18,9503,Metals
28575,P-17,9152,Raw Minerals
21235,N-13,4997,Raw Minerals
37251,B-10,2278,Raw Minerals
24741,J-11,5483,Machinery
26936,K-14,9430,Raw Minerals
29275,D-11,8945,Agricultural
25364,H-13,3311,Chemicals
22282,O-12,8658,Livestock
14125,K-18,9911,Livestock
36310,K-12,6122,Livestock
18294,I-14,5012,Intermodal Containers
47433,O-19,3874,Metals
10628,H-19,3290,Automobiles
42630,P-15,6119,Machinery
12329,L-17,4919,Oil
36730,L-11,8875,Food
26163,K-16,1842,Raw Minerals
34722,P-13,5390,Machinery
17041,E-19,5600,Oil
14267,F-13,2906,Machinery
32198,L-15,1493,Electronics
40776,I-20,6230,Food
16198,M-12,1615,Oil
29552,G-10,1307,Oil
11070,H-12,2935,Goods
32524,B-17,3983,Electronics
20472,F-11,7621,Forestry
43538,N-20,4793,Intermodal Containers
18534,D-17,1123,Machinery
32231,C-15,3163,Food
23863,F-13,5974,Metals
43581,O-14,5876,Forestry
30088,K-13,3519,Raw Minerals
22947,E-14,3224,Agricultural
30714,E-18,9319,Intermodal Containers
36577,A-17,8636,Goods
29118,G-20,5290,Oil
13485,E-15,5520,Metals
48088,J-15,8204,Livestock
18221,C-16,4672,Machinery
26444,M-16,7392,Oil
20130,D-19,9241,Food
19137,M-12,8392,Forestry
11490,L-13,9168,Goods
34724,M-12,3061,Oil
29740,F-19,5349,Raw Minerals
28339,I-10,3862,Building Materials
29751,A-14,8743,Livestock
26314,K-20,3596,Intermodal Containers
11850,F-12,8671,Building Materials
33729,H-11,6373,Machinery
10032,E-16,3966,Oil
14676,B-11,5375,Raw Minerals
25140,D-15,2387,Automobiles
11959,E-18,3175,Automobiles
10621,L-17,4798,Raw Minerals
31834,L-20,3344,Intermodal Containers
45815,M-13,6036,Oil
15279,B-10,6906,Raw Minerals
47091,G-14,7648,Raw Minerals
36439,K-15,7433,Machinery
39118,J-11,8187,Machinery
33044,K-17,1040,Intermodal Containers
22867,E-19,8097,Goods
44880,J-15,4620,Metals
11994,D-10,9856,Agricultural
32208,L-14,4619,Building Materials
43940,I-12,2213,Agricultural
14509,I-11,3469,Oil
44217,H-15,4146,Automobiles
23778,I-14,7383,Building Materials
34754,F-11,6287,Building Materials
23696,C-17,2108,Raw Minerals
43046,I-20,4599,Chemicals
22352,N-13,2104,Raw Minerals
42160,F-13,3207,Intermodal Containers
12766,B-14,6076,Livestock
15135,K-11,4239,Machinery
13627,C-13,9253,Raw Minerals
15069,K-19,1706,Agricultural
41685,F-14,2100,Agricultural
16699,G-13,9549,Building Materials
45917,B-13,8290,Livestock
45417,L-20,6956,Chemicals
25981,G-16,1035,Forestry
26360,I-19,1467,Electronics
18696,G-14,5264,Oil
31847,B-16,4489,Raw Minerals
22577,C-12,6085,Intermodal Containers
37570,C-11,7576,Building Materials
47856,E-10,9442,Electronics
37670,F-11,7998,Forestry
36256,C-16,7679,Goods
11269,L-12,8673,Automobiles
26564,D-19,8955,Livestock
14368,N-20,2155,Oil
29833,E-10,2832,Metals
27886,N-16,7362,Electronics
17438,F-14,3220,Agricultural
41302,H-18,8833,Automobiles
16849,L-12,7705,Chemicals
41083,O-11,4086,Building Materials
46237,H-20,7317,Automobiles
32658,N-15,9024,Intermodal Containers
44048,L-18,4661,Livestock
20287,I-11,2667,Automobiles
36783,A-11,1403,Goods
12072,H-10,9858,Metals
15286,I-17,6249,Raw Minerals
44056,L-19,5837,Metals
46822,A-20,7685,Machinery
34082,J-19,4670,Livestock
39586,D-20,3702,Raw Minerals
12451,B-13,9277,Forestry
41115,O-10,9902,Oil
31241,F-18,9613,Goods
19776,N-17,9298,Metals
23956,N-20,1548,Forestry
18373,I-10,1950,Intermodal Containers
31459,C-14,2158,Building Materials
17605,F-19,6906,Forestry
21809,H-20,1509,Oil
49447,A-11,5095,Building Materials
46166,A-18,8556,Forestry
48623,D-13,9062,Intermodal Containers
31522,A-15,1976,Livestock
45026,B-17,1441,Raw Minerals
49649,G-18,4738,Chemicals
21518,H-19,5864,Electronics
12341,C-15,5632,Raw Minerals
46011,E-20,1917,Agricultural
11752,B-11,9755,Automobiles
20957,B-13,4675,Automobiles
38943,C-20,8207,Electronics
37740,G-17,3483,Automobiles
17317,O-17,5975,Metals
14872,I-11,6764,Building Materials
42683,H-19,4192,Forestry
45145,I-18,9024,Building Materials
25495,J-14,8864,Electronics
42414,F-20,7584,Chemicals
27753,N-15,9189,Metals
49811,F-19,6147,Livestock
14762,J-20,8133,Intermodal Containers
34311,P-14,8515,Livestock
23420,I-11,1162,Livestock
46197,P-11,4640,Raw Minerals
17639,O-16,3581,Food
20896,O-18,9564,Intermodal Containers
45292,D-19,3771,Chemicals
49578,M-19,6480,Machinery
16840,B-11,5372,Oil
43690,E-17,8683,Oil
35834,I-12,4436,Agricultural
35923,C-16,4688,Goods
24072,N-18,1759,Agricultural
48043,F-20,4973,Food
26343,C-17,9204,Electronics
32094,C-17,9915,Metals
17447,A-10,3055,Livestock
24473,E-16,3034,Goods
49822,A-10,6750,Chemicals
40339,N-10,8111,Machinery
38059,H-14,5128,Raw Minerals
45273,P-12,5814,Food
41183,P-20,2173,Machinery
17649,E-15,6141,Forestry
28048,L-17,8290,Oil
37683,C-14,6844,Metals
36175,C-13,9638,Raw Minerals
16934,H-11,5272,Livestock
17852,B-12,4921,Agricultural
25015,I-17,2832,Metals
48521,K-20,9077,Forestry
40022,H-16,2421,Raw Minerals
23774,G-12,1052,Livestock
18009,M-20,1500,Goods
26053,O-17,9612,Goods
19122,H-14,9428,Food
11765,P-15,8640,Oil
33563,K-16,9421,Metals
24505,D-12,7039,Building Materials
19749,A-16,7250,Goods
24765,H-11,2611,Metals
16178,B-13,4544,Chemicals
27484,K-10,1409,Oil
14686,I-14,6580,Metals
46446,J-20,7817,Automobiles
23163,H-18,4328,Metals
34394,O-20,6446,Electronics
19947,F-19,2362,Agricultural
29487,D-12,1663,Automobiles
36621,A-16,8293,Goods
25542,F-15,9295,Food
25229,K-16,6148,Building Materials
43921,I-12,9178,Chemicals
44061,I-19,2461,Agricultural
49437,E-15,8707,Livestock
41931,H-15,2844,Oil
27798,P-14,2791,Livestock
21499,C-17,6026,Automobiles
25570,O-17,9003,Food
20029,D-12,8741,Electronics
35110,G-17,5316,Intermodal Containers
40757,N-11,8723,Forestry
36410,A-14,9146,Metals
30513,I-19,4607,Intermodal Containers
26786,P-15,1062,Food
46058,H-11,6813,Chemicals
39523,P-16,7174,Agricultural
10729,N-14,2671,Machinery
36979,P-17,6059,Chemicals
10693,M-10,7553,Oil
26551,E-20,1409,Livestock
23425,A-12,3268,Agricultural
38886,N-15,5452,Oil
43873,J-16,7734,Building Materials
28769,O-18,8512,Metals
14011,K-16,9094,Agricultural
21101,A-19,6065,Automobiles
26400,H-19,3311,Chemicals
26538,O-14,2407,Food
32334,O-12,7720,Agricultural
46212,I-16,9334,Electronics
44941,H-20,8746,Machinery
48229,H-12,3874,Building Materials
13054,M-10,9432,Food
37547,E-19,1728,Oil
18367,A-18,5519,Food
25643,K-11,2351,Machinery
10955,N-16,5116,Livestock
25234,B-10,2386,Automobiles
28507,B-20,9161,Goods
45837,A-15,6196,Automobiles
49947,E-14,7300,Automobiles
42167,N-19,1963,Automobiles
23835,P-12,8257,Metals
24959,O-18,1758,Food
22263,C-11,5484,Oil
23472,P-14,5499,Intermodal Containers
41284,N-17,2677,Metals
17832,B-14,7650,Raw Minerals
37287,J-20,4301,Agricultural
32694,A-14,8827,Oil
20722,I-16,9382,Chemicals
45587,E-20,7648,Machinery
26750,I-13,3313,Raw Minerals
47891,K-14,9822,Raw Minerals
49041,C-19,9566,Electronics
35475,E-15,1829,Raw Minerals
17871,B-13,7485,Forestry
44885,D-19,6764,Livestock
23281,I-20,4444,Food
17872,C-16,4949,Agricultural
45534,L-15,3193,Goods
22809,O-11,6233,Goods
15433,M-13,3300,Automobiles
38822,G-20,2144,Machinery
26624,M-17,5250,Raw Minerals
22167,M-10,5368,Food
12101,P-20,3049,Livestock
10405,M-14,5544,Intermodal Containers
48735,A-17,4384,Forestry
41610,C-20,9671,Electronics
43138,I-17,5484,Food
18586,A-18,9657,Agricultural
16865,O-19,8592,Chemicals
37997,G-19,6756,Agricultural
20701,J-17,6747,Food
26240,C-15,8153,Building Materials
29719,C-19,8870,Metals
34264,D-15,7624,Goods
30554,P-18,5726,Building Materials
19385,F-14,4315,Building Materials
36697,A-17,9571,Goods
20400,P-18,1058,Metals
41749,A-12,7454,Raw Minerals
35866,B-18,7287,Agricultural
12252,E-17,4218,Oil
36706,B-10,4851,Food
23203,O-11,1305,Food
20341,B-11,7728,Chemicals
20001,A-16,5229,Chemicals
12068,G-18,2482,Building Materials
41148,A-11,1682,Raw Minerals
41453,G-17,3381,Building Materials
45127,B-18,5906,Building Materials
28631,P-19,1815,Chemicals
23950,D-13,3657,Food
30593,A-17,8194,Chemicals
32089,H-13,8625,Machinery
26264,B-11,3227,Metals
37414,E-14,8423,Oil
17567,K-12,8325,Forestry
39643,I-11,5810,Livestock
36974,H-10,8748,Agricultural
19263,L-14,7010,Oil
17848,E-16,3790,Food
36485,N-17,8905,Forestry
44801,P-16,9767,Chemicals
15651,K-12,4356,Forestry
33829,H-19,8614,Chemicals
34782,M-13,6382,Metals
24918,L-11,6073,Livestock
39547,E-20,8197,Food
16989,G-13,4383,Oil
12985,I-15,1473,Goods
40611,I-14,4458,Livestock
20525,P-17,3914,Food
43795,F-20,1833,Chemicals
23666,L-15,3330,Goods
23884,D-17,3129,Intermodal Containers
25502,H-15,3800,Agricultural
23604,M-16,6440,Raw Minerals
17340,J-17,9574,Intermodal Containers
18235,A-14,5018,Machinery
24013,K-18,8687,Raw Minerals
36262,A-16,2577,Building Materials
28598,F-14,9408,Intermodal Containers
21758,A-14,7104,Forestry
38580,N-20,8270,Food
28847,A-19,9036,Electronics
13096,L-12,2879,Automobiles
15919,D-10,7204,Livestock
19780,L-13,6205,Electronics
22848,L-12,3043,Electronics
43514,N-16,5122,Chemicals
27278,D-16,8875,Food
12273,B-10,1808,Food
10164,J-16,6232,Chemicals
10998,I-20,3676,Chemicals
20637,O-11,1545,Food
11814,O-15,2280,Oil
44685,A-15,2692,Chemicals
18926,P-15,7010,Intermodal Containers
43647,G-18,2142,Chemicals
11453,C-13,7838,Metals
18536,L-14,9632,Food
25204,I-19,4776,Raw Minerals
29183,E-10,2430,Electronics
47370,D-20,5335,Building Materials
26788,F-13,4296,Intermodal Containers
19698,L-17,7800,Electronics
41962,A-10,3449,Livestock
49905,E-10,8156,Metals
48732,P-15,3640,Electronics
45798,K-18,3074,Livestock
25757,D-10,6003,Oil
29090,J-17,2204,Raw Minerals
32753,P-13,2009,Automobiles
34542,I-19,4535,Goods
41801,N-13,6669,Building Materials
37851,C-10,1694,Oil
12764,D-20,5096,Agricultural
35245,P-18,5553,Electronics
15691,L-19,8386,Electronics
24211,I-14,5729,Livestock
25574,E-13,1311,Building Materials
14672,G-20,5382,Metals
22240,J-15,7783,Machinery
47902,C-11,6465,Electronics
45189,J-18,8903,Agricultural
18490,C-15,6321,Raw Minerals
44777,C-18,5255,Electronics
10735,C-19,1176,Food
39043,O-15,5377,Machinery
22819,H-17,5237,Raw Minerals
49656,H-19,5356,Chemicals
24790,H-18,1888,Chemicals
48334,G-12,2076,Livestock
20372,O-17,6208,Electronics
34801,K-19,3883,Chemicals
37834,L-11,1984,Oil
45144,F-14,6376,Agricultural
10715,C-11,7774,Food
27418,C-15,7320,Intermodal Containers
15018,M-10,6942,Livestock
29623,G-17,7706,Food
20219,M-12,3984,Agricultural
44145,E-10,5113,Food
11617,D-15,8327,Chemicals
16064,J-18,8475,Agricultural
34299,G-10,9776,Livestock
11906,A-14,4967,Automobiles
42935,L-16,5952,Goods
24017,D-16,7082,Livestock
14757,N-14,8191,Agricultural
21254,E-18,9854,Chemicals
48548,G-14,1188,Chemicals
38441,N-19,1471,Goods
19650,A-12,3623,Metals
20088,J-12,1260,Metals
12607,E-15,4888,Electronics
34630,F-20,4526,Machinery
25240,J-17,8408,Electronics
34674,C-13,3885,Food
36603,G-15,6017,Goods
39496,B-14,4188,Agricultural
29381,O-13,4085,Goods
42894,H-17,8188,Agricultural
31503,K-12,2989,Goods
47190,P-19,5136,Machinery
49744,K-17,1711,Metals
32873,F-18,6072,Building Materials
22064,L-16,9238,Livestock
45399,I-17,2573,Automobiles
48761,B-12,8644,Metals
45021,A-14,6608,Oil
21945,M-17,3451,Chemicals
28606,N-12,6456,Intermodal Containers
31394,G-13,1006,Goods
40118,E-16,7851,Machinery
44285,H-17,3520,Metals
11068,I-19,5437,Food
41647,F-11,7171,Forestry
46245,L-10,3907,Intermodal Containers
22783,I-15,9808,Livestock
27325,C-20,6177,Chemicals
20237,H-15,2239,Chemicals
17001,K-11,7394,Automobiles
26571,O-11,8190,Raw Minerals
44783,D-15,8893,Agricultural
11063,P-13,7072,Forestry
40813,B-15,7230,Electronics
39819,B-10,8934,Electronics
15178,E-14,2841,Automobiles
10799,C-16,9751,Machinery
10002,D-10,8095,Chemicals
34270,D-15,7483,Building Materials
25195,J-15,9615,Chemicals
18038,K-16,5453,Intermodal Containers
34899,A-19,1331,Livestock
33660,M-12,2511,Agricultural
44414,B-16,9258,Food
24028,G-19,4910,Goods
20850,I-20,1415,Food
36821,E-11,9799,Building Materials
48108,N-15,5455,Goods
33864,K-12,4115,Raw Minerals
31628,B-14,8476,Goods
37605,I-18,7413,Forestry
19830,P-13,9829,Chemicals
27108,C-13,6838,Goods
39709,K-17,2458,Metals
26658,H-16,2928,Chemicals
45302,P-12,1974,Forestry
36170,P-11,3577,Raw Minerals
34764,J-14,1265,Livestock
47777,F-18,3416,Chemicals
47637,B-18,3342,Chemicals
14247,B-14,6122,Automobiles
20589,I-14,4121,Chemicals
42342,M-19,6075,Electronics
49874,C-10,6770,Building Materials
37906,K-18,9871,Raw Minerals
34551,F-15,5358,Machinery
29688,L-18,4859,Food
11400,A-17,7573,Goods
26773,B-11,6570,Raw Minerals
19916,D-12,9609,Automobiles
17463,L-14,7090,Raw Minerals
28455,B-14,2130,Raw Minerals
45138,P-12,3475,Machinery
31133,K-19,2932,Automobiles
34565,M-10,8385,Electronics
42339,A-15,8300,Chemicals
44425,B-14,3886,Goods
23302,C-17,1907,Oil
44063,D-16,6365,Forestry
34274,L-17,1164,Electronics
26515,N-13,2872,Chemicals
48895,B-20,3073,Agricultural
42200,P-14,6318,Machinery
12595,J-19,9288,Raw Minerals
43190,K-13,5274,Metals
20148,C-17,6036,Oil
25676,D-18,1715,Intermodal Containers
29664,B-14,1657,Automobiles
39829,B-19,1372,Raw Minerals
10050,H-20,1302,Raw Minerals
37849,G-17,7820,Intermodal Containers
21417,O-19,5322,Goods
16548,P-12,3407,Food
35505,F-20,6942,Chemicals
18377,F-15,7042,Automobiles
31765,I-11,6408,Automobiles
42861,K-16,5440,Food
14056,E-16,7363,Livestock
30709,M-13,8869,Building Materials
49526,E-12,1887,Oil
35457,G-13,1656,Goods
31457,B-13,1288,Metals
15250,M-16,5304,Livestock
30167,P-10,9406,Goods
22026,B-18,8938,Food
10834,C-17,7503,Food
19722,K-15,9062,Building Materials
24033,B-12,9223,Chemicals
17585,E-17,2788,Machinery
34273,J-17,8979,Agricultural
48908,L-13,5152,Electronics
49066,C-15,6351,Raw Minerals
18904,M-12,9973,Automobiles
35559,J-11,4937,Automobiles
27173,C-17,8127,Metals
46397,F-10,8892,Forestry
19192,O-10,8970,Agricultural
12972,K-18,5424,Metals
28491,F-11,1399,Chemicals
14912,I-17,2604,Food
27729,J-11,9078,Livestock
49386,J-16,7767,Chemicals
26882,N-12,9606,Automobiles
31749,P-17,2756,Building Materials
42623,J-16,4908,Automobiles
10724,P-12,1249,Agricultural
11806,G-11,6404,Machinery
49281,P-17,1984,Goods
39637,A-18,6784,Livestock
32212,E-12,7451,Automobiles
17702,B-20,9703,Oil
10046,I-10,5429,Building Materials
18720,H-15,6483,Automobiles
36772,K-11,9085,Chemicals
18195,H-10,5487,Automobiles
42913,F-16,5523,Electronics
24543,O-18,4890,Livestock
25602,N-14,8723,Agricultural
26939,F-18,9971,Raw Minerals
40450,O-16,3343,Food
47598,C-15,1479,Intermodal Containers
14957,B-17,6956,Building Materials
14691,G-11,8813,Chemicals
32512,D-15,5908,Goods
40723,G-12,7220,Oil
43107,P-13,1440,Raw Minerals
21525,M-11,2646,Food
14514,K-16,3822,Intermodal Containers
49652,A-11,1748,Food
45664,N-12,6021,Forestry
37518,K-11,1824,Electronics
28771,O-17,9103,Intermodal Containers
19635,H-11,2259,Forestry
30546,I-15,6603,Food
44666,N-19,1613,Goods
45105,O-11,6837,Machinery
33431,I-15,3927,Automobiles
38650,A-20,5859,Chemicals
14717,E-19,9257,Automobiles
44321,A-11,8160,Machinery
19396,O-16,6820,Automobiles
11037,F-20,3170,Intermodal Containers
32927,K-19,3942,Chemicals
31078,J-13,7188,Machinery
47795,O-17,8640,Livestock
44141,K-15,6041,Electronics
47662,I-12,9646,Agricultural
10117,A-13,9841,Electronics
29148,N-17,3906,Metals
12837,D-13,2818,Raw Minerals
36883,N-10,6266,Forestry
45411,N-18,7579,Food
44226,N-20,6435,Food
16739,B-12,2178,Goods
32695,J-20,5479,Goods
30038,C-12,2021,Machinery
44264,E-18,2072,Electronics
41414,J-10,3842,Agricultural
43620,H-15,8624,Oil
38460,O-15,4369,Metals
19566,N-10,8124,Oil
42607,N-19,4803,Goods
29616,D-11,3875,Electronics
37270,P-20,3191,Food
39393,M-13,2841,Food
40055,I-16,6791,Metals
33296,M-16,6471,Oil
47591,B-19,8607,Building Materials
17925,M-11,2987,Goods
47904,K-11,4043,Agricultural
47105,A-16,1795,Goods
47956,E-12,2363,Forestry
34936,B-10,7293,Oil
37401,H-18,9557,Machinery
18715,H-20,8608,Automobiles
42210,L-20,6092,Oil
28059,J-18,3549,Agricultural
12410,L-15,8516,Building Materials
12603,A-16,1856,Intermodal Containers
47982,G-20,6784,Forestry
39777,F-17,1478,Livestock
11927,O-14,9284,Agricultural
18871,O-13,2923,Food
29539,I-19,7618,Raw Minerals
13890,C-13,6443,Forestry
47815,P-19,3745,Forestry
23502,E-10,5004,Metals
12786,C-19,9513,Food
38220,L-20,1285,Automobiles
41442,A-15,3916,Metals
27848,I-16,8633,Machinery
20183,L-12,5064,Building Materials
13579,C-13,6491,Oil
33433,O-11,2239,Intermodal Containers
12812,A-19,5660,Intermodal Containers
31658,B-20,1934,Chemicals
47701,A-11,3444,Livestock
14668,O-18,1335,Goods
12216,B-12,2565,Automobiles
29386,C-15,4390,Metals
40931,P-19,4639,Forestry
29353,P-19,5671,Goods
46048,I-20,7168,Food
16243,L-20,8958,Oil
25467,K-14,3029,Goods
22496,E-11,3353,Food
49504,O-15,7498,Automobiles
12027,K-15,4192,Machinery
28677,D-11,4338,Oil
24578,K-14,2488,Automobiles
10553,E-20,4673,Oil
11096,A-19,6088,Automobiles
34538,P-17,3746,Chemicals
20299,F-10,7779,Intermodal Containers
45043,C-12,7474,Livestock
45746,A-17,7752,Machinery
22391,B-14,7094,Electronics
19786,J-19,7344,Forestry
22871,M-14,3520,Forestry
42265,A-19,1295,Livestock
38007,E-19,2165,Raw Minerals
19407,E-10,9882,Electronics
25647,N-14,2528,Food
22331,A-15,8909,Oil
33683,M-10,7229,Raw Minerals
28545,O-18,9918,Chemicals
47270,E-16,7532,Automobiles
25754,E-20,8175,Raw Minerals
19261,B-14,3142,Automobiles
46917,A-19,6227,Agricultural
42423,E-12,7279,Intermodal Containers
24808,L-10,1181,Chemicals
19330,M-10,1996,Machinery
29823,N-11,6408,Intermodal Containers
44480,L-16,9918,Oil
29585,N-11,3684,Agricultural
38265,E-18,7297,Metals
30833,H-14,9840,Intermodal Containers
35433,P-10,9865,Oil
23534,H-13,9298,Raw Minerals
49506,E-10,3138,Oil
43978,J-15,2659,Machinery
29471,E-16,5074,Agricultural
32905,M-18,1398,Chemicals
29227,C-10,6980,Raw Minerals
26592,M-18,4854,Building Materials
23114,H-13,8453,Machinery
26457,J-16,9245,Building Materials
26210,D-16,9395,Machinery
30964,H-12,1369,Goods
47456,P-15,6098,Oil
21445,F-17,8322,Raw Minerals
16644,O-10,7258,Raw Minerals
17572,G-13,2907,Machinery
48635,N-16,5713,Goods
30483,D-10,9972,Intermodal Containers
12775,M-11,2354,Intermodal Containers
12420,M-12,9034,Electronics
24907,I-13,5989,Machinery
20172,I-12,5648,Building Materials
37817,A-20,8829,Building Materials
39013,P-18,1053,Forestry
31887,H-13,4092,Forestry
45192,O-10,3579,Machinery
40623,D-20,7199,Automobiles
13691,B-13,4445,Oil
26336,B-11,6692,Forestry
24961,B-16,5604,Machinery
20763,M-19,4763,Forestry
12482,F-13,4194,Machinery
47583,K-13,2156,Electronics
15537,K-11,5858,Oil
49162,I-15,1195,Goods
33935,G-20,3907,Chemicals
11462,C-12,1252,Chemicals
17817,E-17,1907,Food
